group,n,diff
48,15,-1.041657924652099
48,7,-1.035453796386718
48,8,-1.028636455535888
48,15,-1.006642341613769
48,12,-0.964354276657104
48,19,-0.954190492630004
48,7,-0.92179250717163
48,6,-0.9176428318023682
48,6,-0.8710949420928951
48,4,-0.792891263961792
48,7,-0.7762124538421631
48,3,-0.7742068767547601
48,4,-0.6711077690124512
48,6,-0.5915219783782959
48,4,-0.4612609148025511
48,3,-0.367411732673645
48,4,-0.1516556739807129
46,7,-0.9835207462310792
46,8,-0.968578338623046
46,17,-0.9476559162139888
46,4,-0.8950588703155511
46,5,-0.8841181993484492
46,3,-0.8617434501647949
46,6,-0.846054196357727
46,6,-0.8180203437805171
46,7,-0.81224501132965
46,9,-0.7601008415222159
46,13,-0.7474932670593262
46,8,-0.7285032272338859
46,7,-0.697769284248352
46,12,-0.6547480821609489
46,4,-0.6275724172592161
46,6,-0.5989453792572021
46,8,-0.5502238273620601
46,3,-0.4190001487731929
1,29,-1.097641944885254
1,36,-1.015022754669189
1,11,-1.009524345397949
1,36,-0.9896682500839232
1,64,-0.988755464553833
1,5,-0.9874892234802242
1,4,-0.986783385276794
1,31,-0.984552264213562
1,13,-0.9748432636260982
1,13,-0.9744207859039302
1,37,-0.974390745162963
1,10,-0.962352752685546
1,24,-0.9583570957183832
1,13,-0.948849916458129
1,9,-0.9481004476547241
1,19,-0.947405219078064
1,5,-0.9417109489440908
1,7,-0.9385297298431392
1,14,-0.931209564208984
1,7,-0.9104541540145872
1,5,-0.909339904785156
1,7,-0.9000623226165771
1,15,-0.8972737789154049
1,22,-0.8951435089111319
1,30,-0.8825283050537109
1,10,-0.8821039199829102
1,9,-0.8752791881561279
1,10,-0.8744921684265132
1,12,-0.84002673625946
1,9,-0.806710720062255
1,4,-0.7809828519821159
1,8,-0.7780967950820921
1,11,-0.7538812160491941
1,3,-0.7331311702728271
1,22,-0.7281372547149649
1,15,-0.7205977439880371
1,7,-0.6522154808044429
1,21,-0.6104068756103511
1,12,-0.5924237966537471
1,6,-0.5689897537231441
1,3,-0.5312680006027222
1,11,-0.458510994911193
1,31,-0.4123138189315792
1,7,-0.360506892204284
1,5,-0.3348747491836539
1,25,-0.306564092636108
1,28,-0.2978206872940059
1,8,-0.2971057891845701
1,10,-0.2755683660507199
1,14,-0.2680380344390869
1,8,-0.2673811912536621
1,79,-0.2646553516387939
1,9,-0.239553689956665
1,6,-0.2134478092193599
1,7,-0.181615948677063
1,24,-0.1811821460723871
1,16,-0.1506272554397581
1,5,-0.149231910705566
1,10,-0.1321779489517209
1,5,-0.1316652297973631
1,9,-0.1275925636291499
1,6,-0.120381116867065
1,20,-0.119005441665649
1,5,-0.106794357299804
1,27,-0.09770452976226808
1,8,-0.08411765098571711
1,8,-0.0818449258804319
1,9,-0.07961356639861994
1,9,-0.07510018348693802
1,8,-0.0737224817276001
1,3,-0.07338166236877397
1,4,-0.07175958156585692
1,7,-0.0705291032791131
1,3,-0.07005238533019997
1,7,-0.0700327157974241
1,5,-0.0677487850189209
1,10,-0.06757509708404498
1,8,-0.06733632087707497
1,16,-0.0672464370727539
1,6,-0.06712830066680907
1,3,-0.06707298755645708
1,7,-0.06692242622375401
1,18,-0.06668317317962602
1,9,-0.06557476520538308
1,3,-0.06556832790374711
1,16,-0.06520867347717196
1,5,-0.06505310535430907
1,4,-0.06340479850768999
1,4,-0.06340479850768999
1,4,-0.06340479850768999
1,4,-0.06340479850768999
1,19,-0.06266593933105402
1,7,-0.06221973896026611
1,7,-0.06203067302703792
1,3,-0.0619843006134031
1,8,-0.06060206890106201
